replicate,bushnum,color,recap1,recap2,recap3,recap4,rcapyn
1,1,I,0,0,0,0,0
1,1,I,0,0,0,0,0
1,1,I,0,0,0,0,0
1,1,I,0,1,1,0,1
1,1,G,0,0,0,0,0
1,1,G,0,0,0,0,0
1,1,G,1,0,0,0,1
1,1,G,0,0,0,0,0
1,1,G,0,0,0,0,0
1,1,G,0,0,0,0,0
1,1,I,0,0,0,0,0
1,1,I,0,0,0,0,0
1,1,G,0,0,0,0,0
1,1,S,0,0,0,0,0
1,1,G,0,0,0,0,0
1,1,S,0,0,0,0,0
1,1,G,1,0,0,0,1
1,1,S,1,1,0,0,1
1,1,S,0,0,0,0,0
1,1,S,0,0,0,0,0
1,1,S,1,0,1,0,1
1,1,S,0,0,0,0,0
1,1,S,1,0,0,0,1
1,1,S,0,0,0,0,0
2,2,I,0,0,0,0,0
2,2,G,0,0,0,0,0
2,2,G,0,0,0,0,0
2,2,G,1,0,0,0,1
2,2,G,0,0,0,0,0
2,2,G,0,0,0,0,0
2,2,I,0,0,0,0,0
2,2,I,0,0,0,0,0
2,2,S,0,0,0,0,0
2,2,S,1,0,0,0,1
2,2,I,1,0,0,0,1
2,2,I,0,0,0,0,0
2,2,G,0,0,0,0,0
2,2,I,0,0,0,0,0
2,2,G,0,0,0,0,0
2,2,G,0,0,0,0,0
2,2,S,0,0,0,0,0
2,2,S,0,0,0,0,0
2,2,S,1,0,0,0,1
2,2,S,0,0,0,0,0
2,2,S,1,0,0,0,1
2,2,S,0,0,0,0,0
2,2,S,1,0,0,0,1
2,2,S,0,1,0,0,1
3,1,I,0,0,0,0,0
3,1,I,1,0,0,0,1
3,1,G,0,0,0,0,0
3,1,G,1,0,0,0,1
3,1,G,0,0,0,0,0
3,1,I,0,0,0,0,0
3,1,G,0,0,0,0,0
3,1,G,0,0,0,0,0
3,1,G,1,0,0,0,1
3,1,I,1,1,1,0,1
3,1,S,0,0,0,0,0
3,1,G,0,0,0,0,0
3,1,S,1,0,0,0,1
3,1,S,0,0,0,0,0
3,1,S,1,0,0,0,1
3,1,S,0,0,0,0,0
3,1,G,0,0,0,0,0
3,1,S,1,1,1,0,1
3,1,S,0,0,0,0,0
3,1,S,1,0,0,0,1
3,1,S,1,0,0,0,1
3,1,I,0,0,0,0,0
3,1,S,0,0,0,0,0
3,1,G,0,0,0,0,0
4,2,S,0,0,0,0,0
4,2,G,0,0,0,0,0
4,2,G,0,0,0,0,0
4,2,S,0,0,0,0,0
4,2,I,0,0,0,0,0
4,2,I,0,0,0,0,0
4,2,G,0,0,0,0,0
4,2,G,0,0,0,0,0
4,2,G,1,0,0,0,1
4,2,G,0,0,0,0,0
4,2,S,0,0,0,0,0
4,2,S,0,0,0,0,0
4,2,S,0,0,0,0,0
4,2,S,1,0,0,0,1
4,2,G,0,0,0,0,0
4,2,I,0,0,0,0,0
4,2,G,1,0,0,0,1
4,2,I,0,0,0,0,0
4,2,S,0,0,0,0,0
4,2,G,0,0,0,0,0
4,2,G,0,0,0,0,0
4,2,S,0,0,0,0,0
4,2,S,0,0,0,0,0
4,2,S,0,0,0,0,0
